,DLF.NS,GODREJPROP.NS,PHOENIXLTD.NS,LODHA.NS,OBEROIRLTY.NS,PRESTIGE.NS,BRIGADE.NS,MAHLIFE.NS,IBREALEST.NS,SOBHA.NS
2019-07-01,190.8000030517578,1096.25,655.6500244140625,,618.2999877929688,265.04998779296875,173.03334045410156,133.8333282470703,115.94999694824219,539.7000122070312
2019-07-02,192.5,960.3499755859375,655.1500244140625,,607.6500244140625,270.25,178.5,134.5833282470703,116.55000305175781,538.75
2019-07-03,193.64999389648438,949.5499877929688,654.5499877929688,,608.0499877929688,285.04998779296875,183.93333435058594,139.3333282470703,115.8499984741211,553.0499877929688
2019-07-04,194.60000610351562,946.4000244140625,653.75,,623.75,287.75,184.86666870117188,138.26666259765625,118.30000305175781,561.4000244140625
2019-07-05,186.9499969482422,925.0499877929688,643.5999755859375,,583.75,274.5,180.56666564941406,134.1999969482422,115.9000015258789,559.1500244140625
2019-07-08,182.39999389648438,889.4500122070312,610.8499755859375,,553.0,257.0,180.63333129882812,132.4499969482422,113.1500015258789,550.5
2019-07-09,183.64999389648438,899.2999877929688,629.75,,592.4000244140625,275.95001220703125,183.03334045410156,135.0,113.0,568.8499755859375
2019-07-10,177.6999969482422,908.7000122070312,649.0499877929688,,571.3499755859375,269.8999938964844,177.8000030517578,138.0,114.0999984741211,546.75
2019-07-11,186.0,931.0,651.3499755859375,,554.9500122070312,271.0,177.89999389648438,137.25,116.3499984741211,549.5999755859375
2019-07-12,186.14999389648438,942.5,649.5499877929688,,556.0999755859375,272.8500061035156,178.60000610351562,135.63333129882812,116.69999694824219,567.0499877929688
2019-07-15,186.0500030517578,948.2999877929688,632.5499877929688,,569.0999755859375,271.1499938964844,177.89999389648438,137.38333129882812,113.75,570.2000122070312
2019-07-16,191.35000610351562,975.5999755859375,650.5999755859375,,565.75,278.54998779296875,182.23333740234375,136.56666564941406,114.8499984741211,574.5
2019-07-17,190.6999969482422,989.9000244140625,660.0499877929688,,560.7000122070312,276.79998779296875,183.3000030517578,139.89999389648438,115.4000015258789,570.3499755859375
2019-07-18,183.1999969482422,977.25,655.0499877929688,,569.5999755859375,276.1000061035156,184.13333129882812,133.88333129882812,112.30000305175781,560.3499755859375
2019-07-19,180.0500030517578,950.75,654.5,,561.8499755859375,276.1000061035156,182.39999389648438,131.81666564941406,110.75,554.0499877929688
2019-07-22,179.5,946.6500244140625,656.75,,549.2000122070312,267.5,181.60000610351562,130.4166717529297,102.9000015258789,548.3499755859375
2019-07-23,180.1999969482422,953.7999877929688,670.1500244140625,,566.7999877929688,262.75,186.8000030517578,132.21665954589844,100.9000015258789,572.5999755859375
2019-07-24,177.35000610351562,927.1500244140625,681.6500244140625,,549.9000244140625,261.29998779296875,187.06666564941406,130.14999389648438,104.19999694824219,572.9500122070312
2019-07-25,176.35000610351562,944.25,690.2000122070312,,545.5499877929688,268.45001220703125,186.60000610351562,130.1999969482422,105.94999694824219,554.5
2019-07-26,180.5,949.2999877929688,680.0499877929688,,549.9000244140625,263.75,181.23333740234375,132.06666564941406,105.9000015258789,530.1500244140625
2019-07-29,179.4499969482422,937.5,671.2000122070312,,550.6500244140625,262.29998779296875,180.23333740234375,123.6500015258789,100.80000305175781,544.0499877929688
2019-07-30,177.75,942.9500122070312,674.7999877929688,,548.4500122070312,257.8999938964844,175.06666564941406,123.31666564941406,89.25,536.0499877929688
